-3.5029296491 -1.7169042147 6.2836500000
-3.5029296491 -1.5533895276 6.2559200000
-3.5029296491 -1.3898748405 6.1696700000
-3.5029296491 -1.2263601534 6.0265300000
-3.5029296491 -1.0628454663 5.8296700000
-3.5029296491 -0.8993307791 5.5837100000
-3.5029296491 -0.7358160920 5.2945300000
-3.5029296491 -0.5723014049 4.9691000000
-3.5029296491 -0.4087867178 4.6152000000
-3.5029296491 -0.2452720307 4.2411300000
-3.5029296491 -0.0817573436 3.8554000000
-3.5029296491 0.0817573436 3.4664400000
-3.5029296491 0.2452720307 3.0823200000
-3.5029296491 0.4087867178 2.7104400000
-3.5029296491 0.5723014049 2.3573500000
-3.5029296491 0.7358160920 2.0285000000
-3.3027622406 -4.3331392086 2.0422700000
-3.3027622406 -4.1696245215 2.3210000000
-3.3027622406 -4.0061098344 2.6227800000
-3.3027622406 -3.8425951472 2.9450200000
-3.3027622406 -3.6790804601 3.2841000000
-3.3027622406 -3.5155657730 3.6353400000
-3.3027622406 -3.3520510859 3.9931000000
-3.3027622406 -3.1885363988 4.3509000000
-3.3027622406 -3.0250217117 4.7015600000
-3.3027622406 -2.8615070245 5.0374400000
-3.3027622406 -2.6979923374 5.3506500000
-3.3027622406 -2.5344776503 5.6333800000
-3.3027622406 -2.3709629632 5.8781400000
-3.3027622406 -2.2074482761 6.0780800000
-3.3027622406 -2.0439335890 6.2272600000
-3.3027622406 -1.8804189018 6.3209300000
-3.3027622406 -1.7169042147 6.3557100000
-3.3027622406 -1.5533895276 6.3297900000
-3.3027622406 -1.3898748405 6.2430100000
-3.3027622406 -1.2263601534 6.0969300000
-3.3027622406 -1.0628454663 5.8947500000
-3.3027622406 -0.8993307791 5.6412600000
-3.3027622406 -0.7358160920 5.3426600000
-3.3027622406 -0.5723014049 5.0062900000
-3.3027622406 -0.4087867178 4.6404200000
-3.3027622406 -0.2452720307 4.2539100000
-3.3027622406 -0.0817573436 3.8558600000
-3.3027622406 0.0817573436 3.4553100000
-3.3027622406 0.2452720307 3.0609000000
-3.3027622406 0.4087867178 2.6805800000
-3.3027622406 0.5723014049 2.3213200000
-3.1025948321 -4.1696245215 2.1714200000
-3.1025948321 -4.0061098344 2.4520500000
-3.1025948321 -3.8425951472 2.7527000000
-3.1025948321 -3.6790804601 3.0701000000
-3.1025948321 -3.5155657730 3.3999600000
-3.1025948321 -3.3520510859 3.7370200000
-3.1025948321 -3.1885363988 4.0751700000
-3.1025948321 -3.0250217117 4.4075800000
-3.1025948321 -2.8615070245 4.7269300000
-3.1025948321 -2.6979923374 5.0256200000
-3.1025948321 -2.5344776503 5.2960400000
-3.1025948321 -2.3709629632 5.5308900000
-3.1025948321 -2.2074482761 5.7234300000
-3.1025948321 -2.0439335890 5.8677800000
-3.1025948321 -1.8804189018 5.9591900000
-3.1025948321 -1.7169042147 5.9942500000
-3.1025948321 -1.5533895276 5.9710500000
-3.1025948321 -1.3898748405 5.8893300000
-3.1025948321 -1.2263601534 5.7504800000
-3.1025948321 -1.0628454663 5.5575600000
-3.1025948321 -0.8993307791 5.3152100000
-3.1025948321 -0.7358160920 5.0294300000
-3.1025948321 -0.5723014049 4.7074300000
-3.1025948321 -0.4087867178 4.3573200000
-3.1025948321 -0.2452720307 3.9878200000
-3.1025948321 -0.0817573436 3.6079200000
-3.1025948321 0.0817573436 3.2265400000
-3.1025948321 0.2452720307 2.8522100000
-3.1025948321 0.4087867178 2.4927600000
-3.1025948321 0.5723014049 2.1550600000
-2.9024274236 -4.0061098344 2.1614100000
-2.9024274236 -3.8425951472 2.4224800000
-2.9024274236 -3.6790804601 2.6986500000
-2.9024274236 -3.5155657730 2.9862000000
-2.9024274236 -3.3520510859 3.2805800000
-2.9024274236 -3.1885363988 3.5764200000
-2.9024274236 -3.0250217117 3.8677100000
-2.9024274236 -2.8615070245 4.1479600000
-2.9024274236 -2.6979923374 4.4104100000
-2.9024274236 -2.5344776503 4.6482800000
-2.9024274236 -2.3709629632 4.8550300000
-2.9024274236 -2.2074482761 5.0246200000
-2.9024274236 -2.0439335890 5.1517600000
-2.9024274236 -1.8804189018 5.2321500000
-2.9024274236 -1.7169042147 5.2627000000
-2.9024274236 -1.5533895276 5.2417000000
-2.9024274236 -1.3898748405 5.1688600000
-2.9024274236 -1.2263601534 5.0454500000
-2.9024274236 -1.0628454663 4.8742100000
-2.9024274236 -0.8993307791 4.6593300000
-2.9024274236 -0.7358160920 4.4062400000
-2.9024274236 -0.5723014049 4.1214700000
-2.9024274236 -0.4087867178 3.8123700000
-2.9024274236 -0.2452720307 3.4868300000
-2.9024274236 -0.0817573436 3.1530100000
-2.9024274236 0.0817573436 2.8189800000
-2.9024274236 0.2452720307 2.4924500000
-2.9024274236 0.4087867178 2.1804900000
-2.7022600150 -3.8425951472 2.0095200000
-2.7022600150 -3.6790804601 2.2315500000
-2.7022600150 -3.5155657730 2.4626400000
-2.7022600150 -3.3520510859 2.6990700000
-2.7022600150 -3.1885363988 2.9365100000
-2.7022600150 -3.0250217117 3.1700600000
-2.7022600150 -2.8615070245 3.3944600000
-2.7022600150 -2.6979923374 3.6042300000
-2.7022600150 -2.5344776503 3.7939000000
-2.7022600150 -2.3709629632 3.9581600000
-2.7022600150 -2.2074482761 4.0921700000
-2.7022600150 -2.0439335890 4.1916800000
-2.7022600150 -1.8804189018 4.2532800000
-2.7022600150 -1.7169042147 4.2745600000
-2.7022600150 -1.5533895276 4.2542200000
-2.7022600150 -1.3898748405 4.1921500000
-2.7022600150 -1.2263601534 4.0895000000
-2.7022600150 -1.0628454663 3.9486500000
-2.7022600150 -0.8993307791 3.7731100000
-2.7022600150 -0.7358160920 3.5674500000
-2.7022600150 -0.5723014049 3.3370900000
-2.7022600150 -0.4087867178 3.0881100000
-2.7022600150 -0.2452720307 2.8270400000
-2.7022600150 -0.0817573436 2.5605700000
-2.7022600150 0.0817573436 2.2953200000
-2.7022600150 0.2452720307 2.0375500000
-2.5020926065 -3.3520510859 2.0742500000
-2.5020926065 -3.1885363988 2.2456400000
-2.5020926065 -3.0250217117 2.4132100000
-2.5020926065 -2.8615070245 2.5731300000
-2.5020926065 -2.6979923374 2.7214600000
-2.5020926065 -2.5344776503 2.8542800000
-2.5020926065 -2.3709629632 2.9679000000
-2.5020926065 -2.2074482761 3.0589400000
-2.5020926065 -2.0439335890 3.1245400000
-2.5020926065 -1.8804189018 3.1624500000
-2.5020926065 -1.7169042147 3.1711900000
-2.5020926065 -1.5533895276 3.1500800000
-2.5020926065 -1.3898748405 3.0993200000
-2.5020926065 -1.2263601534 3.0200200000
-2.5020926065 -1.0628454663 2.9141200000
-2.5020926065 -0.8993307791 2.7844000000
-2.5020926065 -0.7358160920 2.6343500000
-2.5020926065 -0.5723014049 2.4680400000
-2.5020926065 -0.4087867178 2.2899600000
